"GDUR" "GRT" "COND" "TR" "PN"
"1" -257 "dus" "VG" 1 "C1"
"2" -321 "hg" "VG" 2 "C2"
"3" 63 "hn" "VG" 2 "C2"
"4" 182 "udti" "VG" 2 "C2"
"5" -173 "hn" "VG" 2 "C2"
"6" -657 "lrs" "VG" 2 "B2"
"7" -1405 "lrs" "VG" 2 "A2"
"8" 759 "uds" "VG" 2 "B2"
"9" 1516 "sa" "VG" 2 "C2"
"10" -612 "udti" "VG" 2 "C2"
"11" -383 "uds" "VG" 2 "C2"
"12" -1250 "rls" "VG" 2 "C2"
"13" -325 "lrs" "VG" 2 "C2"
"14" -692 "uds" "VG" 2 "B2"
"15" -248 "lrs" "VG" 2 "C2"
"16" -837 "hg" "VG" 2 "C2"
"17" -455 "uds" "VG" 2 "B2"
"18" -2052 "uti" "VG" 2 "C2"
"19" -739 "fb" "VG" 2 "A2"
"20" -312 "uds" "VG" 2 "B2"
"21" -1172 "uds" "VG" 2 "C2"
"22" -437 "lrs" "VG" 2 "A2"
"23" 531 "rls" "VG" 3 "C3"
"24" 80 "udti" "VG" 3 "A3"
"25" -330 "dus" "VG" 3 "B3"
"26" -1390 "bne" "VG" 3 "A3"
"27" -1770 "udti" "VG" 3 "A3"
"28" -976 "uds" "VG" 3 "C3"
"29" -450 "dti" "VG" 3 "B3"
"30" -648 "udti" "VG" 3 "A3"
"31" 510 "bne" "VG" 3 "C3"
"32" -492 "dus" "VG" 3 "B3"
"33" 124 "uds" "VG" 3 "A3"
"34" -300 "uti" "VG" 3 "A3"
"35" -2288 "uds" "VG" 3 "A3"
"36" -917 "lrs" "VG" 3 "A3"
"37" -1130 "dus" "VG" 3 "B3"
"38" 408 "lt" "VG" 5 "A4"
"39" -574 "rls" "VG" 5 "B4"
"40" 84 "dti" "VG" 5 "B4"
"41" -458 "duti" "VG" 5 "C4"
"42" 287 "lrs" "VG" 5 "B4"
"43" -258 "sa" "VG" 5 "A4"
"44" -276 "sa" "VG" 5 "C4"
"45" 67 "uds" "VG" 5 "C4"
"46" -584 "dus" "VG" 5 "C4"
"47" -242 "hg" "VG" 5 "C4"
"48" -161 "hg" "VG" 5 "A4"
"49" -117 "lrs" "VG" 5 "B4"
"50" -286 "hg" "VG" 5 "C4"
"51" -84 "rti" "VG" 5 "C4"
"52" -167 "lrs" "VG" 5 "B4"
"53" -33 "lrs" "VG" 5 "B4"
"54" 167 "uds" "VG" 5 "B4"
"55" -283 "udti" "VG" 5 "B4"
"56" -500 "uds" "VG" 5 "B4"
"57" -1623 "uds" "VG" 5 "B4"
"58" -245 "uds" "VG" 5 "A4"
"59" 0 "rti" "VG" 5 "B4"
"60" 198 "uds" "VG" 5 "A4"
"61" 93 "dus" "VG" 5 "C4"
"62" -92 "dus" "VG" 5 "C4"
"63" 362 "hg" "VG" 5 "A4"
"64" -735 "duti" "VG" 5 "B4"
"65" -1646 "uds" "VG" 6 "A6"
"66" -685 "uds" "VG" 6 "A6"
"67" 134 "hg" "VG" 6 "C6"
"68" -108 "uds" "VG" 6 "B6"
"69" -316 "uds" "VG" 6 "B6"
"70" -120 "dus" "VG" 6 "A6"
"71" 2550 "uti" "VG" 6 "B6"
"72" -200 "uti" "VG" 6 "C6"
"73" -461 "uti" "VG" 6 "C6"
"74" -83 "sa" "VG" 6 "C6"
"75" 631 "hg" "VG" 6 "C6"
"76" 0 "lt" "VG" 6 "A6"
"77" -1210 "dus" "VG" 9 "B9"
"78" -654 "hg" "VG" 9 "C9"
"79" -48 "dus" "VG" 9 "B9"
"80" 0 "udti" "VG" 9 "C9"
"81" -624 "duti" "VG" 9 "B9"
"82" -978 "sa" "VG" 9 "B9"
"83" -917 "lti" "VG" 9 "C9"
"84" -378 "lrs" "VG" 9 "C9"
"85" -1102 "uds" "VG" 9 "B9"
"86" -2897 "hg" "VG" 9 "B9"
"87" -1985 "uds" "VG" 9 "C9"
"88" -1572 "uds" "VG" 9 "C9"
"89" -490 "uds" "VG" 9 "A9"
"90" -847 "hg" "VG" 9 "C9"
"91" -2059 "hg" "VG" 9 "C9"
"92" -1367 "rls" "VG" 9 "C9"
"93" 161 "hg" "VG" 9 "A9"
"94" -463 "lrs" "VG" 10 "C10"
"96" -341 "uds" "VG" 10 "C10"
"97" -204 "uds" "VG" 10 "C10"
"98" 104 "dus" "VG" 10 "C10"
"99" 228 "sh" "VG" 10 "C10"
"100" -78 "uds" "VG" 10 "A10"
"101" -152 "uds" "VG" 10 "C10"
"102" -986 "uds" "VG" 10 "A10"
"103" -582 "lrs" "VG" 10 "B10"
"104" -1361 "uti" "VG" 10 "A10"
"105" 68 "uti" "VG" 10 "C10"
"106" 299 "dus" "VG" 10 "B10"
"107" -296 "hg" "VG" 10 "C10"
"108" 170 "lti" "VG" 10 "B10"
"109" -922 "uds" "VG" 10 "C10"
"110" 240 "sa" "VV" 1 "C1"
"111" -1693 "dus" "VV" 1 "C1"
"112" -947 "dus" "VV" 1 "C1"
"113" 302 "lrs" "VV" 1 "C1"
"114" 42 "lp" "VV" 2 "A2"
"115" -704 "dus" "VV" 2 "B2"
"116" -597 "udti" "VV" 2 "B2"
"117" -961 "lp" "VV" 2 "B2"
"118" 46 "fne" "VV" 2 "C2"
"119" -738 "rls" "VV" 2 "C2"
"120" 1861 "lp" "VV" 2 "A2"
"121" -410 "udti" "VV" 2 "A2"
"122" -1164 "incrinbr" "VV" 2 "A2"
"123" 395 "lp" "VV" 2 "A2"
"124" -543 "lp" "VV" 2 "A2"
"125" -73 "incrinbr" "VV" 2 "A2"
"126" -254 "lp" "VV" 2 "A2"
"127" -244 "lrs" "VV" 2 "C2"
"128" 41 "incrinbr" "VV" 2 "A2"
"129" -313 "lp" "VV" 2 "A2"
"130" -983 "uti" "VV" 3 "A3"
"131" -2180 "incrinbr" "VV" 3 "A3"
"132" -1635 "lp" "VV" 3 "A3"
"133" -442 "rls" "VV" 3 "B3"
"134" 280 "uti" "VV" 3 "B3"
"135" -490 "uds" "VV" 5 "B5"
"136" -467 "dus" "VV" 5 "B5"
"137" -520 "rls" "VV" 5 "B5"
"138" -79 "hg" "VV" 5 "A5"
"139" -116 "rls" "VV" 5 "A5"
"140" 150 "fne" "VV" 5 "A5"
"141" -358 "dus" "VV" 5 "C5"
"142" -39 "uds" "VV" 5 "C5"
"143" -47 "uds" "VV" 5 "C5"
"144" 0 "dus" "VV" 5 "A5"
"145" 207 "lrs" "VV" 5 "B5"
"146" -270 "dus" "VV" 5 "B5"
"147" -859 "dus" "VV" 5 "B5"
"148" 192 "rls" "VV" 5 "B5"
"149" -1131 "fne" "VV" 5 "B5"
"150" 138 "uds" "VV" 6 "A6"
"151" -704 "lp" "VV" 6 "C6"
"152" 249 "lp" "VV" 6 "C6"
"153" 495 "uds" "VV" 6 "C6"
"154" -44 "dus" "VV" 6 "A6"
"155" 301 "lp" "VV" 6 "A6"
"156" -1237 "dus" "VV" 9 "B9"
"157" 350 "lp" "VV" 9 "C9"
"158" -669 "lp" "VV" 9 "B9"
"159" -899 "dus" "VV" 9 "B9"
"160" -547 "lp" "VV" 9 "B9"
"161" -586 "uti" "VV" 10 "C10"
"162" 307 "lp" "VV" 10 "B10"
"163" -536 "lp" "VV" 10 "C10"
"164" 204 "lp" "VV" 10 "B10"
"165" -527 "lp" "VV" 10 "B10"
"166" -914 "lrs" "VV" 10 "C10"
"167" 178 "lp" "VV" 10 "C10"
